date,salestax,mvtax,indinctax,corptax,totaltax
10/1/2011,95931701,9421086,32367576,10947769,210317493
11/1/2011,86368149,9027159,9651952,2595090,161194731
12/1/2011,76639714,10439514,17657123,40366263,189856808
1/1/2012,117554970,11248409,67120198,6479402,217566582
2/1/2012,80943379,9540265,18349023,10488162,139130918
3/1/2012,66966285,10818472,12664603,13802328,110343105
4/1/2012,96061775,11259601,151583085,67158508,341135105
5/1/2012,95344914,12346669,9576328,6939203,140824497
6/1/2012,78819952,10659589,25819818,39120120,238372554
7/1/2012,120275054,10855364,63349646,978805,201874204
8/1/2012,101992607,11773285,6316237,172405,175956854
9/1/2012,86295569,10009216,19303738,229357,123526651
10/1/2012,123017187,11789643,63354112,8809956,217930843
11/1/2012,99827690,9846133,10026167,3735129,140907487
12/1/2012,95446484,8953023,25315063,35509474,173433535
1/1/2013,109965418,12024444,86956271,12748966,540658099
2/1/2013,88929250,9308588,16387576,4923133,135919397
3/1/2013,60096897,10464556,30148101,17328579,139040428
4/1/2013,102601971,11232734,242930036,57711501,435682935
5/1/2013,93762280,12315586,16313646,4284314,147713901
6/1/2013,83325370,11979326,35764630,40635857,202934426
7/1/2013,122013803,11376193,68259114,366627,550545968
8/1/2013,90573474,11790401,13019982,614357,219296406
9/1/2013,113490855,10116166,34065549,32086122,263448598
10/1/2013,111622316,12084317,68518370,16040533,268188335
11/1/2013,92962162,10306435,11134037,5986992,140063663
12/1/2013,107773679,10916729,13262177,35587991,170145615
1/1/2014,108742236,12513785,93322461,7871836,237201736
2/1/2014,87441042,9761020,4180815,2924520,122804242
3/1/2014,79507510,11113373,10425363,28604315,204175680
4/1/2014,97586204,12702780,162398275,59592996,386832405
5/1/2014,91429872,13253877,10300216,3444934,139165164
6/1/2014,109316948,12006884,25545844,46283023,225483615
7/1/2014,120257295,13045163,79701823,987221,221783198
8/1/2014,94555415,12222272,10925516,745445,131587888
9/1/2014,118037578,12214590,19992775,30620786,197818392
10/1/2014,134233676,12539234,67127508,9981849,237155084
11/1/2014,107372318,9953371,9507178,7673989,152141232
12/1/2014,118694604,12443027,4457575,24647000,174856976
1/1/2015,115685302,12189581,51170821,16049442,731561713
2/1/2015,93224847,9935860,55610545,2864293,180542982
3/1/2015,93519866,10540829,30905374,18814599,172666488
4/1/2015,98920401,11597380,189467930,50934067,363062505
5/1/2015,80494380,10761557,1119093,982174,113821937
6/1/2015,90791001,11767930,15644236,31537940,197447683
7/1/2015,104529052,10608599,66518892,908524,845988634
8/1/2015,89911576,10199245,7729714,882998,189384798
9/1/2015,81820240,9842231,15920099,8010760,157073449
10/1/2015,85614961,10589740,37454389,6459116,183343369
11/1/2015,91321625,7979629,25990466,548850,176252034
12/1/2015,66641543,8910163,6236624,901738,132744703
1/1/2016,85878746,8444901,28679893,17129577,160315995
2/1/2016,75471822,7424627,26558579,3391767,140320644
3/1/2016,52041771,8611318,12657890,12034627,98779370
4/1/2016,57185245,8606801,111032487,27278791,214190188
5/1/2016,73373210,7879385,-1424944,4154428,103965752
6/1/2016,61579782,7236146,16583661,15879624,140419737
7/1/2016,65277703,8371141,30135404,435149,110667936
8/1/2016,93255120,11402552,21092105,266160,139331078
9/1/2016,68037706,10325310,11154720,2887959,106854904
10/1/2016,75873595,9568502,43361088,3708512,143242765
11/1/2016,61906371,8240695,7680228,455459,98991609
12/1/2016,52982130,7831573,8979639,7049878,108627924
1/1/2017,79583140,9660527,51938838,6644680,193669455
2/1/2017,51216816,8361867,11826757,2152740,124200222
3/1/2017,48807306,10301556,18428488,6740023,118084177
4/1/2017,53603876,9417187,68224450,16197170,230926514
5/1/2017,73658021,10739287,26327676,3448215,164199056
6/1/2017,68296478,11231483,13572525,19239647,139971932
7/1/2017,80256851,11216497,53677266,523242,488110441
8/1/2017,70252245,9211126,11614420,393271,137575477
9/1/2017,63044562,9033985,13643722,177407,118517409
10/1/2017,84106594,9819600,42839736,2634410,254578042
11/1/2017,68737632,8100369,8017398,3066120,143691927
12/1/2017,51901096,8171213,13985404,16098290,146416608
1/1/2018,90989007,9950219,59712470,5498146,219100708
2/1/2018,61695683,8075899,15089649,2492747,111206032
3/1/2018,38749110.66,9065809.19,10588872.97,9866927.9,82061976.46
4/1/2018,86340921,9778107,107787905,26420771,241726065
5/1/2018,68049926,10791313,11967436,2901895,116165368
6/1/2018,64996578,11128100,15329846,22274942,289487750
7/1/2018,101220117,10644826,60536341,830387,304367886
8/1/2018,84566820,12478500,10765701,774374,181490439
9/1/2018,68620677,9702185,17916673,34059906,145663873
10/1/2018,104403380,11852166,53640364,5407163,256691782
11/1/2018,83582360,9568107,8647589,2824500,127335841
12/1/2018,72312570,8154907,6194042,24145523,123275990
1/1/2019,90429490,9937285,61618729,5651498,184406356
2/1/2019,67190988,8832562,14510115,1317457,119849441
3/1/2019,59960146,9646506,23908250,8036666,112093016
4/1/2019,83401892,10957092,122057579,40591765,270587218
5/1/2019,77415850,12024868,13473069,2576600,131649120
6/1/2019,64255222,10897797,20532322,21542613,607399894
7/1/2019,117076570,11071587,71629637,772960,601942664
8/1/2019,80600082,12056447,8334291,139416,176452489
9/1/2019,93760174,10614021,17528709,16096560,207931858
10/1/2019,93806256,13169960,48925843,4642434,272029032
11/1/2019,71519837,9371492,8451814,5207557,138311161
12/1/2019,86258681,8350811,6565230,27451375,138531861
1/1/2020,96240330,10253914,65676640,7138038,192218684
2/1/2020,57987544,9053705,14359512,1782619,103999649
3/1/2020,74098764,11044166,7314848,4074274,160528387
4/1/2020,74193308,7277231,80541786,10984386,237322083
5/1/2020,50051122,7295131,4738577,2678336,152293886
6/1/2020,74966896,9948349,18029716,10596078,168329962
7/1/2020,80089815,10747780,124457628,801352,604612937
8/1/2020,67636199,11954466,10951760,27695,122407698
9/1/2020,72167929,11265589,17460489,20531512,152850045
10/1/2020,69721308,12266079,46088617,6369212,192722058
11/1/2020,72946740,10183793,19276606,6586797,131386993
12/1/2020,60985895,9999669,10775471,19395615,107513719
1/1/2021,73594976,11143071,34452110,7751754,137731986
2/1/2021,63196500,10867329,27390063,4344425,131043603
3/1/2021,67940664,12542327,27975191,12370527,135091450
4/1/2021,79083179,13104562,88828901,37457556,231798575
5/1/2021,55283822,12627530,39968961,4652159,184862179
6/1/2021,90785184,13481112,17831468,26557349,1069991363
7/1/2021,88672311,12444187,34659259,13097042,360994069
8/1/2021,86769883,12918359,42396862,242575,212164873
9/1/2021,77898072,11338740,20408950,29065255,192618569
10/1/2021,76018645,10612395,42475377,6370467,204089367
11/1/2021,94755503,9821722,21312396,4520066,195221705
12/1/2021,69769837,10287703,220676,27499457,115654949
1/1/2022,104212673,11930935,18510312,9423805,153847950
2/1/2022,65819205,10444033,14144075,5178926,121425764
3/1/2022,64797226,12348930,40794420,5430022,207468382
4/1/2022,71818694,10550434,141265504,61448331,367818752
5/1/2022,89373478,12120966,49972052,4688723,233064964
6/1/2022,86208210,13057945,29830291,46469958,230919595
7/1/2022,89358189,12727923,49335496,4819185,369456236
8/1/2022,112413728,17668083,39927272,836932,180994743
9/1/2022,104472481,15847080,25311208,46938367,212898664
10/1/2022,95999763,14182221,77955153,8760671,209633764
11/1/2022,98432484,11863434,6882717,9256270,149173176
12/1/2022,86423269,11731967,2233025,40431244,154012143
1/1/2023,109687328,12929411,32108586,23203340,186591422
2/1/2023,86549586,13062154,30259722,5845728,156994902
3/1/2023,80745467,14680257,28801254,7690471,152860192
4/1/2023,83707737,13945814,120249952,108350676,340067840
5/1/2023,104726097,16258999,47653284,5363865,194581924
6/1/2023,102014080,15908139,22064718,46764190,417289992
7/1/2023,115617048,7766240,24756622,5152558,441944065
8/1/2023,111713988,8612006,16189108,2062513,222604925
9/1/2023,93826054,7554856,23520186,44222134,249737888
10/1/2023,125949362,7979824,42475448,9300421,285794717
11/1/2023,106578508,6854096,10895545,8825580,185701874
12/1/2023,78507962,5814340,8972013,47136787,155381804
1/1/2024,130417188,7141624,27023619,8946515,207830659
2/1/2024,86800485,6627406,23335894,2998330,225918451
3/1/2024,56730366,6846752,26630732,7955159,198617994
4/1/2024,118853762,8040820,101434295,79056482,396709708
5/1/2024,98035709,7561421,23668456,4403133,156431812
6/1/2024,77130945,6660216,26099863,56597856,285840887
7/1/2024,130085745,8205511,26760232,8200570,207463507
8/1/2024,103291704,7294746,22811678,5835636,158677918
9/1/2024,110032616,6864634,20500789,34004566,189624980
10/1/2024,120586763,6835869,52490754,9183205,212673039
11/1/2024,94221554,6086255,17927520,12689444,154820158
12/1/2024,112281793,5745849,8061187,45287483,190582403
1/1/2025,116640242,7194915,45168135,14155755,195538824
2/1/2025,85984867,5982972,23705228,9808487,149699113
3/1/2025,79197671,7051063,27766374,11272010,143416036
4/1/2025,97092282,7723041,168704841,115227989,402048583
5/1/2025,93496923,7351404,18269254,6059794,147754382
6/1/2025,110847035,7318343,21039100,58873293,473408196
7/1/2025,121199494,7296051,26953057,667697,163930645
8/1/2025,94318604,6337467,11154615,235547,189174623
9/1/2025,126372149,6832968,23791254,55881032,276357189
10/1/2025,121013408,7243904,55146360,8549329,264598461
11/1/2025,86534572,5547692,14990886,9097969,190451227
12/1/2025,116364790,6113164,6835486,35959614,276166849
1/1/2026,111825948,7390663,11236047,18336729,161818671
